iter	Passed	Remaining
0	1	162
1	3	149
2	4	139
3	5	136
4	7	139
5	8	127
6	9	123
7	10	125
8	11	120
9	12	116
10	13	110
11	14	106
12	15	105
13	17	104
14	18	102
15	18	99
16	20	102
17	22	100
18	22	97
19	23	94
20	24	93
21	26	92
22	27	92
23	29	92
24	29	89
25	30	87
26	31	85
27	33	85
28	35	85
29	35	83
30	36	81
31	37	79
32	38	78
33	44	85
34	49	92
35	52	93
36	53	91
37	56	92
38	58	90
39	59	89
40	62	89
41	62	86
42	63	83
43	64	81
44	65	79
45	66	78
46	67	75
47	70	75
48	107	111
49	119	119
50	130	125
51	131	121
52	133	118
53	138	117
54	139	113
55	146	114
56	147	111
57	157	113
58	160	111
59	193	128
60	194	124
61	197	120
62	201	118
63	223	125
64	228	123
65	230	118
66	235	116
67	243	114
68	245	110
69	246	105
70	248	101
71	249	97
72	250	92
73	252	88
74	253	84
75	254	80
76	255	76
77	256	72
78	258	68
79	260	65
80	261	61
81	262	57
82	263	53
83	264	50
84	266	47
85	267	43
86	268	40
87	269	36
88	270	33
89	272	30
90	273	27
91	274	23
92	277	20
93	278	17
94	279	14
95	280	11
96	282	8
97	283	5
98	284	2
99	285	0
